Model,Accuracy
SVM,0.8176100628930818
RandomForest,0.8789308176100629
XGBoost,0.9056603773584906
DNN,0.7358490228652954
CNN,0.9088050127029419
LSTM,0.8805031180381775
ResNet,0.9402515292167664
GRU,0.9355345368385315
